customer_id,name,age,email,city,signup_date,salary
1,,131,invalid_email,Bangalore,2023-03-07 0:00:00,400486
2,Neha,19,neha@outlook.com,Bangalore,2023-11-12 0:00:00,
3,Rahul,145,rahul@yahoo.com,Chennai,2023-12-27 0:00:00,64898
4,Riya,19,riya@outlook.com,MUMBAI,2024-07-26 0:00:00,
5,Neha,-2,neha@yahoo.com,MUMBAI,2022-09-22 0:00:00,
6,Neha,,nehagmail.com,Mumbai,2023-03-22 0:00:00,213293
7,Sara,40,sara@gmail.com,delhi,2024-04-16 0:00:00,462879
8,Riya,-6,riyagmail.com,MUMBAI,,
9,,,invalid_email,delhi,2023-11-15 0:00:00,316008
10,Priya,-10,priya@gmail.com,Mumbai,2023-09-15 0:00:00,68545
11,Neha,-10,neha@yahoo.com,,2024-03-03 0:00:00,
12,,105,invalid_email,,2024-05-18 0:00:00,74143
13,Ankit,42,ankit@gmail.com,Bangalore,2023-10-10 0:00:00,63781
14,Riya,-8,riya@yahoo.com,MUMBAI,2023-12-07 0:00:00,
15,Riya,-9,riya@outlook.com,delhi,2022-05-09 0:00:00,327965
16,Riya,-1,riyagmail.com,MUMBAI,2022-04-18 0:00:00,495316
17,Rahul,147,rahul@yahoo.com,,2024-05-03 0:00:00,
18,Rahul,-3,rahul@gmail.com,,2022-01-29 0:00:00,81587
19,Rahul,110,rahul@yahoo.com,MUMBAI,2022-02-06 0:00:00,262396
20,Priya,143,priya@gmail.com,Delhi,2023-12-11 0:00:00,
21,Rahul,51,rahul@outlook.com,Chennai,2023-07-22 0:00:00,23783
22,,41,invalid_email,Kolkata,2023-06-12 0:00:00,
23,Amit,,amit@outlook.com,Delhi,2024-07-23 0:00:00,116037
24,Sara,-5,sara@yahoo.com,delhi,2022-03-01 0:00:00,
25,Sara,41,sara@outlook.com,Mumbai,2022-10-01 0:00:00,81883
26,Rahul,,rahul@yahoo.com,,2024-01-25 0:00:00,
27,Priya,-2,priya@outlook.com,,2023-05-02 0:00:00,
28,Rahul,134,rahul@yahoo.com,MUMBAI,2024-08-13 0:00:00,392421
29,Rahul,,rahul@outlook.com,Mumbai,2024-03-09 0:00:00,204260
30,Priya,60,priya@gmail.com,Bangalore,,
31,Ankit,-10,ankit@yahoo.com,MUMBAI,2023-05-19 0:00:00,
32,Amit,143,amit@gmail.com,Mumbai,2023-06-18 0:00:00,290761
33,Riya,146,riyagmail.com,Chennai,,
34,John,30,john@yahoo.com,delhi,2022-04-16 0:00:00,437973
35,Rahul,,rahul@outlook.com,Bangalore,2022-09-04 0:00:00,291947
36,Sara,28,sara@yahoo.com,Kolkata,2022-10-04 0:00:00,372790
37,Priya,,priya@outlook.com,,2024-03-17 0:00:00,
38,Ankit,-2,ankit@outlook.com,Chennai,2024-07-29 0:00:00,
39,,149,invalid_email,Bangalore,2024-08-11 0:00:00,380919
40,Rahul,106,rahulgmail.com,MUMBAI,2022-03-15 0:00:00,103529
41,,30,invalid_email,,2022-10-23 0:00:00,225674
42,John,-5,john@outlook.com,Kolkata,2023-08-28 0:00:00,325595
43,Amit,41,invalid_email,Chennai,2024-01-14 0:00:00,
44,Neha,55,neha@gmail.com,Delhi,2024-04-02 0:00:00,74374
45,Riya,139,riya@yahoo.com,Delhi,2022-10-30 0:00:00,
46,,28,invalid_email,Delhi,2023-08-29 0:00:00,
47,Rahul,148,rahulgmail.com,delhi,2023-11-16 0:00:00,38627
48,John,53,john@yahoo.com,delhi,2023-03-22 0:00:00,66281
49,John,-2,john@yahoo.com,Chennai,2022-01-26 0:00:00,83236
50,John,68,invalid_email,Delhi,2022-11-30 0:00:00,246114
51,Riya,-8,riya@gmail.com,Bangalore,2023-01-14 0:00:00,397409
52,Sara,114,sara@gmail.com,Chennai,2023-01-31 0:00:00,284769
53,Neha,27,neha@yahoo.com,Bangalore,2023-10-25 0:00:00,
54,Amit,-10,amit@yahoo.com,MUMBAI,2022-01-13 0:00:00,266327
55,Neha,-10,neha@gmail.com,Delhi,2022-11-25 0:00:00,493948
56,Sara,-5,sara@gmail.com,Bangalore,2023-10-28 0:00:00,
57,Priya,61,invalid_email,MUMBAI,2024-03-30 0:00:00,415219
58,Ankit,47,ankit@gmail.com,Delhi,2023-03-19 0:00:00,
59,Riya,133,riya@gmail.com,delhi,2023-03-09 0:00:00,36983
60,Rahul,,rahul@yahoo.com,Mumbai,2023-08-12 0:00:00,56554
61,Riya,,riya@outlook.com,Bangalore,2022-11-11 0:00:00,453066
62,Neha,129,neha@yahoo.com,Kolkata,2024-07-23 0:00:00,26670
63,Neha,,neha@yahoo.com,,2024-03-04 0:00:00,72433
64,,-2,invalid_email,delhi,2022-02-07 0:00:00,230056
65,,110,invalid_email,Mumbai,2024-03-13 0:00:00,42413
66,Riya,119,riya@yahoo.com,,2022-10-09 0:00:00,31907
67,Ankit,-8,ankit@yahoo.com,delhi,2024-08-12 0:00:00,289525
68,Sara,24,sara@outlook.com,Mumbai,2022-03-11 0:00:00,
69,Riya,,riya@outlook.com,MUMBAI,2023-01-25 0:00:00,439253
70,Riya,124,riya@yahoo.com,delhi,2023-01-09 0:00:00,116581
71,Sara,140,sara@gmail.com,MUMBAI,2022-05-04 0:00:00,422681
72,Neha,130,neha@outlook.com,Kolkata,2022-05-21 0:00:00,
73,,,invalid_email,,2022-07-25 0:00:00,
74,John,32,john@outlook.com,Bangalore,2023-03-29 0:00:00,28423
75,,-2,invalid_email,,2023-11-08 0:00:00,218166
76,Priya,,invalid_email,Delhi,2023-07-08 0:00:00,48682
77,John,-3,john@yahoo.com,Kolkata,2023-04-22 0:00:00,251749
78,Priya,,priyagmail.com,MUMBAI,2024-01-09 0:00:00,
79,Rahul,,rahul@gmail.com,,2024-08-27 0:00:00,497076
80,Riya,148,riya@yahoo.com,Bangalore,2024-08-25 0:00:00,38797
81,Priya,-7,priyagmail.com,,2022-08-06 0:00:00,58173
82,,,invalid_email,delhi,2022-05-07 0:00:00,104088
83,John,122,john@outlook.com,Delhi,2022-09-22 0:00:00,
84,Riya,-7,riya@outlook.com,Chennai,2023-10-10 0:00:00,
85,Riya,,riyagmail.com,Kolkata,2022-02-18 0:00:00,
86,Rahul,-8,rahul@yahoo.com,Chennai,2022-10-15 0:00:00,36669
87,Riya,150,riya@gmail.com,Bangalore,2022-05-20 0:00:00,245731
88,Amit,,amit@gmail.com,Kolkata,2023-01-22 0:00:00,271153
89,Neha,,neha@outlook.com,,2024-09-04 0:00:00,
90,Amit,66,amit@yahoo.com,Kolkata,2024-08-30 0:00:00,258096
91,John,-5,john@yahoo.com,MUMBAI,2023-05-10 0:00:00,
92,Ankit,,ankit@gmail.com,,2024-01-06 0:00:00,
93,,117,invalid_email,Mumbai,2022-05-02 0:00:00,118057
94,John,-8,john@gmail.com,Kolkata,2024-08-11 0:00:00,310190
95,,,invalid_email,Delhi,2022-10-01 0:00:00,
96,Priya,,priya@outlook.com,delhi,,
97,Amit,,amit@outlook.com,Mumbai,2024-08-01 0:00:00,453706
98,Sara,,sara@outlook.com,delhi,2024-04-10 0:00:00,66224
99,Ankit,20,ankitgmail.com,,2022-08-29 0:00:00,27666
100,Priya,66,priya@outlook.com,MUMBAI,2022-10-15 0:00:00,327044
101,Sara,-6,saragmail.com,Bangalore,2023-08-12 0:00:00,65491
102,Riya,46,riya@yahoo.com,Bangalore,2023-05-21 0:00:00,64247
103,John,-1,john@gmail.com,Kolkata,2022-02-05 0:00:00,
104,Ankit,,ankit@gmail.com,Kolkata,2023-12-02 0:00:00,23875
105,Rahul,,rahul@yahoo.com,Chennai,,493681
106,,130,invalid_email,delhi,2024-03-20 0:00:00,61774
107,Rahul,-3,rahul@gmail.com,delhi,2023-09-11 0:00:00,
108,Priya,106,invalid_email,Chennai,2024-03-28 0:00:00,75193
109,,,invalid_email,Delhi,2024-02-19 0:00:00,
110,Amit,-9,amit@yahoo.com,delhi,2022-04-23 0:00:00,
111,Sara,,sara@outlook.com,,2022-11-21 0:00:00,55713
112,Sara,66,sara@gmail.com,Mumbai,2024-08-02 0:00:00,269385
113,,24,invalid_email,Chennai,2022-03-06 0:00:00,93945
114,Ankit,70,ankit@outlook.com,Chennai,2023-11-10 0:00:00,
115,,101,invalid_email,Bangalore,2022-08-18 0:00:00,438774
116,,142,invalid_email,Chennai,,44935
117,Priya,138,priya@gmail.com,Mumbai,2022-09-15 0:00:00,25364
118,,-5,invalid_email,delhi,,91328
119,Priya,,priya@gmail.com,Mumbai,,32571
120,Rahul,,rahul@gmail.com,Bangalore,2023-02-18 0:00:00,291492
121,Neha,,neha@yahoo.com,Kolkata,,95119
122,,-8,invalid_email,,2024-04-28 0:00:00,376881
123,Amit,44,invalid_email,Kolkata,2022-10-06 0:00:00,282283
124,Ankit,144,ankit@yahoo.com,Delhi,2024-03-31 0:00:00,115268
125,Riya,-7,riya@gmail.com,,2022-07-13 0:00:00,
126,,,invalid_email,Bangalore,2023-05-21 0:00:00,
127,Priya,,priya@gmail.com,Bangalore,2023-10-13 0:00:00,24566
128,,,invalid_email,Kolkata,2024-05-10 0:00:00,
129,Priya,-5,priya@outlook.com,Bangalore,2023-03-10 0:00:00,
130,John,-10,john@outlook.com,delhi,2023-12-09 0:00:00,
131,John,,johngmail.com,Mumbai,2022-05-26 0:00:00,85692
132,Priya,,invalid_email,Delhi,2024-07-13 0:00:00,
133,Amit,-8,amitgmail.com,MUMBAI,,
134,Priya,31,priya@yahoo.com,MUMBAI,2022-08-20 0:00:00,
135,Riya,135,riya@gmail.com,Bangalore,2023-06-14 0:00:00,266814
136,Ankit,30,ankit@gmail.com,,2023-03-18 0:00:00,
137,Sara,104,sara@outlook.com,Chennai,2023-08-26 0:00:00,48714
138,Sara,,invalid_email,Kolkata,2023-02-06 0:00:00,114584
139,,62,invalid_email,Kolkata,2022-11-26 0:00:00,254989
140,Priya,-6,priya@yahoo.com,Chennai,2022-06-25 0:00:00,51031
141,Neha,37,neha@gmail.com,Delhi,2022-07-11 0:00:00,72315
142,Riya,,riya@outlook.com,Kolkata,2023-09-24 0:00:00,440259
143,Amit,,amitgmail.com,Chennai,2022-02-25 0:00:00,
144,Ankit,123,ankit@gmail.com,,2023-03-11 0:00:00,215040
145,Ankit,133,ankit@yahoo.com,Kolkata,2023-03-14 0:00:00,469170
146,John,30,john@yahoo.com,Bangalore,,
147,Ankit,,ankit@yahoo.com,Delhi,2022-01-05 0:00:00,218310
148,Neha,-10,neha@outlook.com,MUMBAI,2022-09-25 0:00:00,40914
149,Neha,21,neha@gmail.com,Bangalore,2023-12-11 0:00:00,373823
150,Amit,,amit@gmail.com,,2024-07-04 0:00:00,48460
151,Rahul,129,rahul@outlook.com,Bangalore,2022-09-12 0:00:00,115524
152,Ankit,-1,ankit@outlook.com,Bangalore,2024-02-24 0:00:00,373439
153,,57,invalid_email,Chennai,2024-04-09 0:00:00,356485
154,Priya,124,priya@outlook.com,MUMBAI,2022-01-11 0:00:00,257541
155,Priya,21,invalid_email,Delhi,2022-12-20 0:00:00,220277
156,John,53,john@yahoo.com,,2024-03-03 0:00:00,35221
157,,-2,invalid_email,Chennai,2023-05-22 0:00:00,
158,,69,invalid_email,Chennai,2024-03-18 0:00:00,105354
159,John,65,john@yahoo.com,delhi,2022-12-05 0:00:00,
160,Rahul,146,rahul@gmail.com,Mumbai,2024-03-26 0:00:00,447946
161,Neha,-8,invalid_email,delhi,2023-12-07 0:00:00,59839
162,Neha,102,neha@yahoo.com,MUMBAI,2022-01-28 0:00:00,
163,Ankit,-9,ankit@gmail.com,MUMBAI,2023-01-14 0:00:00,38812
164,Amit,,amit@gmail.com,Delhi,,290645
165,Rahul,137,rahul@gmail.com,Delhi,2023-01-05 0:00:00,34726
166,John,,john@yahoo.com,delhi,,
167,Neha,51,neha@yahoo.com,,2024-09-21 0:00:00,492785
168,Riya,,riya@yahoo.com,,2022-11-23 0:00:00,377536
169,Ankit,,ankitgmail.com,MUMBAI,2023-05-17 0:00:00,302827
170,Ankit,,ankit@yahoo.com,Chennai,,
171,Neha,-8,neha@yahoo.com,,2022-11-20 0:00:00,
172,Ankit,39,ankit@outlook.com,,,89534
173,Neha,23,neha@yahoo.com,,2022-10-06 0:00:00,76250
174,Ankit,-10,ankit@gmail.com,delhi,2023-03-26 0:00:00,228574
175,Neha,-1,neha@outlook.com,Mumbai,2023-07-19 0:00:00,
176,Sara,114,sara@outlook.com,Chennai,2023-07-29 0:00:00,304892
177,Riya,113,invalid_email,Bangalore,2024-08-31 0:00:00,
178,Priya,-7,priya@outlook.com,MUMBAI,2023-09-23 0:00:00,90903
179,Priya,,priya@gmail.com,Chennai,2024-03-31 0:00:00,
180,Neha,-8,neha@gmail.com,Delhi,2024-01-22 0:00:00,424558
181,Sara,,invalid_email,delhi,2024-08-19 0:00:00,257663
182,Riya,,riya@outlook.com,Kolkata,2023-11-14 0:00:00,82874
183,Riya,43,riya@yahoo.com,Mumbai,2024-01-08 0:00:00,476055
184,Priya,,invalid_email,Delhi,2022-11-10 0:00:00,54733
185,Amit,132,amit@outlook.com,MUMBAI,2022-05-14 0:00:00,58169
186,Riya,104,riyagmail.com,Kolkata,2023-02-17 0:00:00,
187,Rahul,-5,rahul@outlook.com,Mumbai,2024-08-01 0:00:00,
188,Rahul,143,invalid_email,Bangalore,,
189,,,invalid_email,Kolkata,2023-11-18 0:00:00,117436
190,Ankit,121,ankit@gmail.com,Bangalore,2023-09-16 0:00:00,294573
191,,26,invalid_email,Delhi,2023-11-20 0:00:00,29149
192,,40,invalid_email,Delhi,,
193,Amit,19,amit@outlook.com,,2022-06-30 0:00:00,62628
194,Neha,-6,neha@yahoo.com,Chennai,2024-03-19 0:00:00,254570
195,Priya,-10,priya@gmail.com,MUMBAI,2022-09-30 0:00:00,80307
196,Ankit,59,ankit@gmail.com,Delhi,2024-08-05 0:00:00,487708
197,,49,invalid_email,Kolkata,,
198,Ankit,40,ankitgmail.com,Bangalore,2024-06-05 0:00:00,
199,,116,invalid_email,delhi,2023-07-19 0:00:00,91453
200,Riya,57,riyagmail.com,Chennai,2022-07-24 0:00:00,94362
201,John,,invalid_email,Delhi,2024-03-22 0:00:00,36399
202,Priya,18,priya@yahoo.com,delhi,2022-06-07 0:00:00,33300
203,Neha,54,neha@outlook.com,Bangalore,2023-01-11 0:00:00,26543
204,,108,invalid_email,Delhi,2022-12-17 0:00:00,
205,Priya,63,priya@outlook.com,,2024-04-13 0:00:00,
206,,-8,invalid_email,MUMBAI,2022-12-12 0:00:00,
207,Riya,,riya@gmail.com,Bangalore,2022-04-29 0:00:00,78450
208,Priya,104,priya@gmail.com,Chennai,,118068
209,John,,john@yahoo.com,Delhi,,23137
210,Riya,-8,riya@outlook.com,Chennai,2023-07-15 0:00:00,27154
211,Amit,103,amit@outlook.com,,2023-07-08 0:00:00,480668
212,Priya,33,priya@outlook.com,Kolkata,2023-03-25 0:00:00,
213,Ankit,-10,ankitgmail.com,,2022-02-26 0:00:00,78400
214,Priya,,priya@yahoo.com,Delhi,2024-05-23 0:00:00,
215,Ankit,-3,ankit@outlook.com,Delhi,2024-04-05 0:00:00,
216,John,46,john@gmail.com,MUMBAI,,
217,John,,johngmail.com,MUMBAI,2023-04-30 0:00:00,304606
218,,,invalid_email,Bangalore,2023-11-26 0:00:00,78808
219,Priya,-7,priya@outlook.com,Delhi,,111316
220,Priya,-10,priya@gmail.com,Bangalore,2024-04-02 0:00:00,97526
221,Ankit,52,ankit@yahoo.com,Delhi,2023-11-05 0:00:00,
222,Rahul,,rahul@outlook.com,Kolkata,2024-05-20 0:00:00,315675
223,Rahul,-10,rahulgmail.com,Delhi,2022-02-02 0:00:00,237464
224,Ankit,,invalid_email,MUMBAI,2024-02-15 0:00:00,
225,Riya,32,riya@gmail.com,Delhi,2024-08-29 0:00:00,295687
226,Priya,-3,priya@outlook.com,Bangalore,2024-04-30 0:00:00,75418
227,John,148,john@outlook.com,Bangalore,2024-05-23 0:00:00,484425
228,,103,invalid_email,Mumbai,2024-05-03 0:00:00,276267
229,Ankit,132,invalid_email,,2024-03-24 0:00:00,423735
230,Neha,,neha@outlook.com,delhi,2024-02-18 0:00:00,389180
231,Neha,120,neha@yahoo.com,delhi,2022-09-03 0:00:00,106049
